Brisbane ,577
Bundaberg ,17
Cairns ,47
Cassowary Coast ,3
Central Highlands ,1
Charters Towers ,2
Douglas ,2
Fraser Coast ,13
Gladstone ,3
Gold Coast ,233
Goondiwindi ,2
Gympie ,5
Hinchinbrook ,1
Interstate/other,91
Ipswich ,63
Livingstone ,1
Lockyer Valley ,2
Logan ,61
Mackay ,12
Mareeba ,2
Moreton Bay ,119
Noosa ,19
North Burnett ,2
Redland ,30
Rockhampton ,8
Scenic Rim ,5
Somerset ,6
South Burnett ,3
Southern Downs ,2
Sunshine Coast ,83
Tablelands ,4
Toowoomba ,47
Torres ,1
Townsville ,30
Western Downs ,2
Whitsunday ,7