            Australian Bureau of Statistics,,,,,,,,,,,,,,,,,,,,,,
"Regional population, 2019-20",,,,,,,,,,,,,,,,,,,,,,
Released at 11.30am (Canberra time) 30 March 2021,,,,,,,,,,,,,,,,,,,,,,
"Table 7. Estimated resident population, Statistical Areas Level 2, Northern Territory",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,ERP at 30 June,,,ERP change,,,Components of population change 2019-20,,,,,,
,,,,,,,,,,2019,2020,,2019-2020,,,Natural increase,Net internal migration,Net overseas migration,,Area,Population density 2020,
S/T code,S/T name,GCCSA code,GCCSA name,SA4 code,SA4 name,SA3 code,SA3 name,SA2 code,SA2 name,no.,no.,,no.,%,,no.,no.,no.,,km2,persons/km2,
,,,,,,,,,,,,,,,,,,,,,,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70101,Darwin City,701011001,Darwin Airport,16,16,,0,0.0,,0,0,0,,14.3,1.1,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70101,Darwin City,701011002,Darwin City,7346,7215,,-131,-1.8,,40,-201,30,,3.2,2273.6,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70101,Darwin City,701011003,East Point,14,14,,0,0.0,,0,0,0,,2.4,5.9,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70101,Darwin City,701011004,Fannie Bay - The Gardens,3721,3737,,16,0.4,,9,1,6,,3.9,954.2,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70101,Darwin City,701011005,Larrakeyah,3972,3983,,11,0.3,,38,-37,10,,1.9,2047.6,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70101,Darwin City,701011006,Ludmilla - The Narrows,2580,2555,,-25,-1.0,,13,-39,1,,5.4,477.6,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70101,Darwin City,701011007,Parap,2966,2910,,-56,-1.9,,25,-88,7,,1.1,2640.2,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70101,Darwin City,701011008,Stuart Park,4354,4363,,9,0.2,,38,-36,7,,1.6,2668.3,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70101,Darwin City,701011009,Woolner - Bayview - Winnellie,2768,2749,,-19,-0.7,,39,-60,2,,6.8,404.6,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021010,Alawa,2159,2124,,-35,-1.6,,24,-61,2,,1.2,1713.0,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021011,Anula,2388,2345,,-43,-1.8,,24,-67,0,,1.3,1779.5,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021012,Berrimah,1345,1349,,4,0.3,,14,-10,0,,30.3,44.6,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021013,Brinkin - Nakara,3492,3335,,-157,-4.5,,20,-182,5,,2.7,1241.6,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021014,Buffalo Creek,0,0,,0,0.0,,0,0,0,,23.9,0.0,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021015,Charles Darwin,0,0,,0,0.0,,0,0,0,,17.5,0.0,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021016,Coconut Grove,3175,3123,,-52,-1.6,,37,-92,3,,1.4,2192.8,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021017,East Arm,13,13,,0,0.0,,0,0,0,,24.4,0.5,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021018,Jingili,1839,1849,,10,0.5,,19,-10,1,,1.3,1404.7,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021019,Karama,4999,4900,,-99,-2.0,,47,-149,3,,2.1,2372.3,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021020,Leanyer,4619,4527,,-92,-2.0,,46,-141,3,,2.5,1809.6,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021021,Lyons (NT),6398,6687,,289,4.5,,117,166,6,,7.0,949.7,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021022,Malak - Marrara,4634,4526,,-108,-2.3,,30,-141,3,,4.8,936.8,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021023,Millner,2574,2485,,-89,-3.5,,17,-109,3,,1.5,1693.1,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021024,Moil,2030,2002,,-28,-1.4,,16,-45,1,,1.0,1920.6,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021025,Nightcliff,3919,3812,,-107,-2.7,,61,-176,8,,1.5,2626.8,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021026,Rapid Creek,3466,3441,,-25,-0.7,,33,-64,6,,1.9,1794.4,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021027,Tiwi,2569,2506,,-63,-2.5,,-18,-46,1,,3.1,803.5,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021028,Wagaman,2247,2198,,-49,-2.2,,18,-69,2,,0.8,2623.5,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021029,Wanguri,1918,1878,,-40,-2.1,,14,-56,2,,0.9,2120.8,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70102,Darwin Suburbs,701021030,Wulagi,2440,2408,,-32,-1.3,,26,-60,2,,1.3,1906.7,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70103,Litchfield,701031031,Howard Springs,7719,7644,,-75,-1.0,,15,-91,1,,118.0,64.8,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70103,Litchfield,701031032,Humpty Doo,9097,9121,,24,0.3,,91,-68,1,,157.4,57.9,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70103,Litchfield,701031033,Koolpinyah,26,26,,0,0.0,,0,0,0,,1199.6,0.0,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70103,Litchfield,701031034,Virginia,3531,3557,,26,0.7,,23,3,0,,54.7,65.0,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70103,Litchfield,701031035,Weddell,4804,4816,,12,0.2,,38,-27,1,,1408.5,3.4,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041036,Bakewell,3226,3195,,-31,-1.0,,44,-78,3,,1.3,2423.2,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041037,Driver,2949,2912,,-37,-1.3,,38,-76,1,,1.7,1697.3,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041038,Durack - Marlow Lagoon,4758,4741,,-17,-0.4,,80,-98,1,,11.7,404.6,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041039,Gray,3393,3356,,-37,-1.1,,51,-89,1,,1.5,2233.0,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041040,Moulden,3102,3083,,-19,-0.6,,50,-69,0,,1.8,1761.3,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041041,Palmerston - North,4508,4491,,-17,-0.4,,70,-88,1,,4.8,942.5,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041042,Palmerston - South,5677,6508,,831,14.6,,145,683,3,,25.0,260.5,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041043,Rosebery - Bellamack,7288,7346,,58,0.8,,116,-62,4,,3.2,2313.6,
7,Northern Territory,7GDAR,Greater Darwin,701,Darwin,70104,Palmerston,701041044,Woodroffe,3376,3385,,9,0.3,,40,-32,1,,1.6,2118.7,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011045,Charles,4373,4284,,-89,-2.0,,45,-137,3,,16.7,256.6,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011046,East Side,5531,5580,,49,0.9,,78,-34,5,,25.8,216.6,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011047,Flynn (NT),4767,4805,,38,0.8,,63,-30,5,,17.1,281.6,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011048,Larapinta,5158,5164,,6,0.1,,82,-78,2,,58.6,88.2,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011049,Mount Johns,3979,3993,,14,0.4,,68,-64,10,,19.0,210.7,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011050,Petermann - Simpson,2756,2718,,-38,-1.4,,20,-61,3,,175242.2,0.0,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011051,Ross,2612,2622,,10,0.4,,-10,19,1,,190.7,13.8,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011052,Sandover - Plenty,4545,4553,,8,0.2,,33,-25,0,,129516.5,0.0,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011053,Tanami,3233,3265,,32,1.0,,30,1,1,,192633.3,0.0,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70201,Alice Springs,702011054,Yuendumu - Anmatjere,2399,2407,,8,0.3,,32,-24,0,,71845.1,0.0,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70202,Barkly,702021055,Barkly,2839,2840,,1,0.0,,33,-32,0,,303171.9,0.0,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70202,Barkly,702021056,Tennant Creek,3256,3302,,46,1.4,,50,-5,1,,42.1,78.5,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70203,Daly - Tiwi - West Arnhem,702031057,Alligator,4721,4701,,-20,-0.4,,23,-44,1,,33100.7,0.1,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70203,Daly - Tiwi - West Arnhem,702031058,Daly,2036,2045,,9,0.4,,18,-10,1,,34828.1,0.1,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70203,Daly - Tiwi - West Arnhem,702031059,Thamarrurr,2901,2912,,11,0.4,,17,-6,0,,3373.7,0.9,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70203,Daly - Tiwi - West Arnhem,702031060,Tiwi Islands,2743,2743,,0,0.0,,15,-15,0,,7483.2,0.4,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70203,Daly - Tiwi - West Arnhem,702031061,West Arnhem,5478,5508,,30,0.5,,31,-1,0,,33509.2,0.2,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70204,East Arnhem,702041062,Anindilyakwa,2709,2715,,6,0.2,,13,-8,1,,2609.0,1.0,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70204,East Arnhem,702041063,East Arnhem,8544,8559,,15,0.2,,57,-43,1,,30989.9,0.3,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70204,East Arnhem,702041064,Nhulunbuy,3275,3291,,16,0.5,,46,-31,1,,7.6,430.4,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70205,Katherine,702051065,Elsey,2642,2650,,8,0.3,,30,-22,0,,92949.7,0.0,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70205,Katherine,702051066,Gulf,4709,4731,,22,0.5,,36,-15,1,,92275.0,0.1,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70205,Katherine,702051067,Katherine,10721,10710,,-11,-0.1,,120,-134,3,,7416.9,1.4,
7,Northern Territory,7RNTE,Rest of NT,702,Northern Territory - Outback,70205,Katherine,702051068,Victoria River,2801,2814,,13,0.5,,47,-34,0,,133608.6,0.0,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,TOTAL NORTHERN TERRITORY,246143,246143,,0,0.0,,2525,-2697,172,,1348094.3,0.2,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
"Source: Regional population, 2019-20",,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
ý Commonwealth of Australia 2021,,,,,,,,,,,,,,,,,,,,,,